ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
GLOB1PI22-6,GLOB1PI22-6.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030056,ACTIVA
GLOB1PI22-13,GLOB1PI22-13.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300C7,ACTIVA
GLOB1PI22-5,GLOB1PI22-5.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030049,ACTIVA
GLOB1PI22-4,GLOB1PI22-4.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030031,ACTIVA
GLOB1PI22-3,GLOB1PI22-3.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030023,ACTIVA
GLOB1PI22-16,GLOB1PI22-16.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300F0,ACTIVA
GLOB1PI22-15,GLOB1PI22-15.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300E3,ACTIVA
GLOB1PI22-14,GLOB1PI22-14.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300D5,ACTIVA
GLOB1PI22-12,GLOB1PI22-12.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300B9,ACTIVA
GLOB1PI22-11,GLOB1PI22-11.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL0300A1,ACTIVA
GLOB1PI22-10,GLOB1PI22-10.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030098,ACTIVA
GLOB1PI22,GLOB1PI22.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030007,ACTIVA
GLOB1PI22-2,GLOB1PI22-2.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030015,ACTIVA
GLOBCA,GLOBCA.MX,SI,23.85,"TENEDORA DE ACCIONES CM, S.A.P.I.B. DE C.V.",BIVA,Acción,MX1SGL050004,ACTIVA
GMD*,GMD.MX,SI,7.0,"GRUPO MEXICANO DE DESARROLLO, S.A.B.",BMV,Acción,MX01GM080002,ACTIVA
GMEXICOB,GMEXICOB.MX,SI,218.26,"GRUPO MEXICO, S.A.B. DE C.V.",BMV,Acción,MXP370841019,ACTIVA
GNP*,GNP.MX,SI,117.5,"GRUPO NACIONAL PROVINCIAL, S.A.B.",BMV,Acción,MXP4960P1070,ACTIVA
GPH1,GPH1.MX,SI,42.0,"GRUPO PALACIO DE HIERRO, S.A.B. DE C.V.",BMV,Acción,MXP496851033,ACTIVA
GPI23,GPI23.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,MX1RGP040002,ACTIVA
GPI23-2,GPI23-2.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,MX1RGP040010,ACTIVA
GPROFUT*,GPROFUT.MX,SI,120.0,"GRUPO PROFUTURO, S.A.B. DE C.V.",BMV,Acción,MX01GP010006,ACTIVA
GRANDCK18,GRANDCK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RGR050009,ACTIVA
GRUMAB,GRUMAB.MX,SI,310.52,"GRUMA, S.A.B. DE C.V.",BMV,Acción,MXP4948K1056,ACTIVA
HCITY*,HCITY.MX,SI,6.43,"HOTELES CITY EXPRESS, S.A.B. DE C.V.",BMV,Acción,MX01HC000001,ACTIVA
HERDEZ*,HERDEZ.MX,SI,85.95,"GRUPO HERDEZ, S.A.B. DE C.V.",BMV,Acción,MX01HE010008,ACTIVA
HOTEL*,HOTEL.MX,SI,4.05,"GRUPO HOTELERO SANTA FE, S.A.B. DE C.V.",BMV,Acción,MX01HO090008,ACTIVA
HV2PI19D,HV2PI19D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RHV000007,ACTIVA
HV2PI20D,HV2PI20D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
ICHB,ICHB.MX,SI,173.1,"INDUSTRIAS CH, S.A.B. DE C.V.",BMV,Acción,MXP524131127,ACTIVA
ICUA2CK14,ICUA2CK14.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RIC0P0004,ACTIVA
ICUADCK10,ICUADCK10.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RIC0K0009,ACTIVA
IDEALB-1,IDEALB-1.MX,SI,43.0,"IMPULSORA DEL DESARROLLO Y EL EMPLEO EN AMERICA LATINA, S.A.B. DE C.V.",BMV,Acción,MX01ID000009,ACTIVA
IGNIAPI15,IGNIAPI15.MX,NO,,"BANCO MULTIVA S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO MULTIVA",BMV,Acción,,ACTIVA
IGNIAPI22,IGNIAPI22.MX,NO,,"BANCO MULTIVA S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO MULTIVA",BMV,Acción,,ACTIVA
IGS3CK17,IGS3CK17.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIG070008,ACTIVA
IGSCK11-2,IGSCK11-2.MX,NO,,"HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO HSBC",BMV,Acción,MX1RIG050000,ACTIVA
INDCK18,INDCK18.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RIN3A0005,ACTIVA
INFRACK21,INFRACK21.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
INFRACK18,INFRACK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIN310033,ACTIVA
INFRACK16,INFRACK16.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RIN310017,ACTIVA
